date,temperature_2m,humidity,dewpoint_2m,apparent_temperature,pressure,precipitation
1940-01-01,23.304166666666664,73.04166666666667,17.991666666666667,24.116666666666664,1012.8625000000001,0.30000000000000004
1940-01-02,23.245833333333334,70.66666666666667,17.3625,24.108333333333334,1011.8916666666668,0.2
1940-01-03,23.308333333333334,73.08333333333333,17.904166666666665,24.195833333333336,1011.7083333333334,0.1
1940-01-04,23.27916666666667,76.04166666666667,18.5125,24.537499999999998,1010.3291666666668,0.6000000000000001
1940-01-05,23.291666666666668,73.54166666666667,18.108333333333334,24.34166666666667,1010.2458333333334,0.7000000000000001
1940-01-06,23.3,69.58333333333333,17.025000000000002,24.1375,1009.9333333333334,0.0
1940-01-07,23.366666666666664,72.375,17.604166666666668,24.775000000000002,1010.0916666666667,0.0
1940-01-08,22.066666666666666,74.91666666666667,16.758333333333333,23.575,1009.4541666666668,0.0
1940-01-09,22.495833333333334,76.45833333333333,17.425,24.5125,1008.6458333333334,0.0
1940-01-10,22.616666666666664,76.70833333333333,17.870833333333334,24.433333333333334,1008.8208333333333,0.2
1940-01-11,22.1875,71.41666666666667,16.116666666666667,23.09583333333333,1009.8708333333334,0.1
1940-01-12,22.162499999999998,64.16666666666667,14.483333333333334,22.3125,1009.8000000000001,0.0
1940-01-13,22.208333333333332,62.416666666666664,13.916666666666666,22.258333333333336,1009.3625000000001,0.0
1940-01-14,22.325,61.875,13.775,22.3125,1009.6291666666666,0.0
1940-01-15,22.462500000000002,66.58333333333333,15.245833333333332,22.991666666666664,1008.7833333333333,0.0
1940-01-16,22.349999999999998,69.91666666666667,15.9,23.40833333333333,1007.9875000000001,0.0
1940-01-17,22.579166666666666,66.66666666666667,15.104166666666666,23.704166666666666,1007.0500000000001,0.0
1940-01-18,23.183333333333334,69.83333333333333,16.758333333333333,24.724999999999998,1007.3958333333334,0.0
1940-01-19,23.84583333333333,70.45833333333333,17.629166666666666,25.65833333333333,1008.4666666666667,0.0
1940-01-20,23.508333333333336,70.25,17.2375,24.791666666666668,1009.2458333333334,0.0
1940-01-21,23.162499999999998,62.5,15.0625,23.25,1009.0583333333334,0.0
1940-01-22,23.337500000000002,58.958333333333336,14.379166666666668,22.900000000000002,1009.0291666666667,0.0
1940-01-23,23.954166666666666,60.958333333333336,15.354166666666666,24.070833333333336,1008.6,0.0
1940-01-24,23.974999999999998,65.79166666666667,16.820833333333333,24.679166666666664,1008.9583333333334,0.6000000000000001
1940-01-25,24.075,65.625,16.7375,24.804166666666664,1009.25,0.0
1940-01-26,24.441666666666666,75.875,19.479166666666668,26.787499999999998,1008.2624999999999,0.9
1940-01-27,24.795833333333334,81.04166666666667,21.150000000000002,27.875,1007.7833333333333,1.5
1940-01-28,24.7375,80.625,20.974999999999998,27.787499999999998,1007.3375,1.9000000000000001
1940-01-29,24.441666666666666,80.08333333333333,20.566666666666666,26.974999999999998,1008.3333333333334,1.1
1940-01-30,24.6875,75.75,19.933333333333334,26.78333333333333,1008.5749999999999,1.4000000000000001
1940-01-31,24.429166666666664,71.875,18.566666666666666,26.175,1008.5375,0.0
1940-02-01,24.22083333333333,72.16666666666667,18.308333333333334,26.224999999999998,1008.8625000000001,0.0
1940-02-02,24.679166666666664,73.625,19.070833333333333,27.325,1008.2875,0.0
1940-02-03,25.958333333333332,74.75,20.4375,29.125,1007.3083333333334,0.1
1940-02-04,26.820833333333336,74.41666666666667,21.216666666666665,30.287499999999998,1007.4458333333333,0.6000000000000001
1940-02-05,26.516666666666666,76.58333333333333,21.545833333333334,30.2375,1007.9375,0.8
1940-02-06,26.245833333333334,76.08333333333333,21.204166666666666,29.71666666666667,1007.8416666666667,0.5
1940-02-07,25.40833333333333,75.375,20.370833333333334,28.5125,1008.4499999999999,0.30000000000000004
1940-02-08,24.900000000000002,71.875,18.970833333333335,27.125,1008.8041666666667,0.1
1940-02-09,24.804166666666664,68.20833333333333,17.879166666666666,26.8125,1007.9416666666666,0.0
