date,rainfall,temperature_2m,humidity,dewpoint_2m,apparent_temperature,pressure,precipitation
1940-01-01,0.0,23.304166666666664,73.04166666666667,17.991666666666667,24.116666666666664,1012.8625,0.3
1940-01-02,0.0,23.245833333333334,70.66666666666667,17.3625,24.10833333333333,1011.8916666666668,0.2
1940-01-03,0.0,23.308333333333334,73.08333333333333,17.904166666666665,24.195833333333336,1011.7083333333334,0.1
1940-01-04,0.0,23.27916666666667,76.04166666666667,18.5125,24.5375,1010.3291666666668,0.6000000000000001
1940-01-05,2.3063435554504395,23.291666666666668,73.54166666666667,18.10833333333333,24.34166666666667,1010.2458333333334,0.7000000000000001
1940-01-06,0.0,23.3,69.58333333333333,17.025000000000002,24.1375,1009.9333333333334,0.0
1940-01-07,0.0,23.366666666666664,72.375,17.604166666666668,24.775,1010.0916666666668,0.0
1940-01-08,0.0,22.066666666666663,74.91666666666667,16.758333333333333,23.575,1009.4541666666668,0.0
1940-01-09,0.0,22.495833333333334,76.45833333333333,17.425,24.5125,1008.6458333333334,0.0
1940-01-10,0.0,22.616666666666664,76.70833333333333,17.870833333333334,24.433333333333334,1008.8208333333332,0.2
1940-01-11,0.0,22.1875,71.41666666666667,16.116666666666667,23.09583333333333,1009.8708333333334,0.1
1940-01-12,0.0,22.1625,64.16666666666667,14.483333333333334,22.3125,1009.8,0.0
1940-01-13,0.0,22.20833333333333,62.41666666666666,13.916666666666666,22.258333333333336,1009.3625,0.0
1940-01-14,0.0,22.325,61.875,13.775,22.3125,1009.6291666666666,0.0
1940-01-15,0.0,22.4625,66.58333333333333,15.245833333333332,22.991666666666664,1008.7833333333332,0.0
1940-01-16,0.0,22.35,69.91666666666667,15.9,23.40833333333333,1007.9875,0.0
1940-01-17,0.0,22.579166666666666,66.66666666666667,15.104166666666666,23.704166666666666,1007.05,0.0
1940-01-18,0.0,23.183333333333334,69.83333333333333,16.758333333333333,24.725,1007.3958333333334,0.0
1940-01-19,0.0,23.84583333333333,70.45833333333333,17.629166666666666,25.65833333333333,1008.4666666666668,0.0
1940-01-20,0.0,23.508333333333336,70.25,17.2375,24.791666666666668,1009.2458333333334,0.0
1940-01-21,0.0,23.1625,62.5,15.0625,23.25,1009.0583333333334,0.0
1940-01-22,0.0,23.3375,58.958333333333336,14.379166666666668,22.9,1009.0291666666668,0.0
1940-01-23,0.0,23.954166666666666,60.958333333333336,15.354166666666666,24.070833333333336,1008.6,0.0
1940-01-24,0.0,23.975,65.79166666666667,16.820833333333333,24.679166666666664,1008.9583333333334,0.6000000000000001
1940-01-25,0.0,24.075,65.625,16.7375,24.804166666666664,1009.25,0.0
1940-01-26,0.0,24.441666666666663,75.875,19.479166666666668,26.7875,1008.2625,0.9
1940-01-27,0.0,24.79583333333333,81.04166666666667,21.15,27.875,1007.7833333333332,1.5
1940-01-28,0.1456775665283203,24.7375,80.625,20.975,27.7875,1007.3375,1.9
1940-01-29,3.766360282897949,24.441666666666663,80.08333333333333,20.566666666666663,26.975,1008.3333333333334,1.1
1940-01-30,0.0,24.6875,75.75,19.933333333333334,26.78333333333333,1008.575,1.4
1940-01-31,0.0,24.429166666666664,71.875,18.566666666666663,26.175,1008.5375,0.0
1940-02-01,0.0,24.22083333333333,72.16666666666667,18.308333333333334,26.225,1008.8625,0.0
1940-02-02,0.0,24.679166666666664,73.625,19.070833333333333,27.325,1008.2875,0.0
1940-02-03,0.0,25.95833333333333,74.75,20.4375,29.125,1007.3083333333334,0.1
1940-02-04,0.0,26.820833333333336,74.41666666666667,21.216666666666665,30.2875,1007.4458333333332,0.6000000000000001
1940-02-05,0.0,26.516666666666666,76.58333333333333,21.54583333333333,30.2375,1007.9375,0.8
1940-02-06,0.0,26.245833333333334,76.08333333333333,21.204166666666666,29.71666666666667,1007.8416666666668,0.5
1940-02-07,0.0,25.40833333333333,75.375,20.370833333333334,28.5125,1008.45,0.3
1940-02-08,0.0,24.9,71.875,18.97083333333333,27.125,1008.8041666666668,0.1
1940-02-09,0.0,24.804166666666664,68.20833333333333,17.879166666666666,26.8125,1007.9416666666666,0.0
1940-02-10,0.0,25.09166666666667,67.91666666666667,18.14583333333333,27.329166666666666,1007.15,0.0
1940-02-11,0.0,25.2625,70.45833333333333,19.0125,27.65416666666667,1008.5625,0.0
1940-02-12,0.0,25.04583333333333,70.45833333333333,18.804166666666667,26.816666666666663,1010.9416666666666,0.1
1940-02-13,0.0,25.104166666666668,66.0,17.591666666666665,26.27916666666667,1011.0041666666666,0.0
1940-02-14,0.0,24.95,67.16666666666667,17.912499999999998,26.0,1010.825,0.5
1940-02-15,0.0,25.366666666666664,64.75,17.870833333333334,26.2375,1011.4208333333332,0.1
1940-02-16,0.0,25.10833333333333,65.75,17.495833333333334,26.370833333333334,1011.7,0.0
1940-02-17,0.0,24.70833333333333,67.25,17.1875,25.98333333333333,1011.2791666666668,0.0
1940-02-18,0.0,24.275,67.75,16.754166666666666,25.579166666666666,1010.7541666666666,0.0
1940-02-19,0.0,24.27083333333333,69.20833333333333,17.099999999999998,25.85833333333333,1010.8208333333332,0.0
1940-02-20,0.0,24.42083333333333,70.29166666666667,17.508333333333333,26.10833333333333,1011.3916666666668,0.0
1940-02-21,0.0,24.133333333333336,68.66666666666667,16.650000000000002,25.47083333333333,1010.4458333333332,0.0
1940-02-22,0.0,24.1875,69.25,16.758333333333333,25.870833333333334,1009.2083333333334,0.0
1940-02-23,0.0,25.02916666666667,68.875,17.758333333333333,26.991666666666664,1008.2708333333334,0.0
1940-02-24,0.0,25.7125,70.79166666666667,19.091666666666665,28.23333333333333,1008.225,0.0
1940-02-25,0.0,25.641666666666666,65.54166666666667,17.941666666666666,27.45,1009.2208333333332,0.0
1940-02-26,0.0,25.570833333333336,67.95833333333333,18.25,27.5625,1008.7208333333332,0.0
1940-02-27,0.0,25.45833333333333,66.54166666666667,17.45,27.566666666666663,1007.0291666666668,0.0
1940-02-28,0.0,25.879166666666663,67.375,17.516666666666666,27.791666666666668,1005.075,0.0
1940-02-29,0.0,26.02083333333333,68.83333333333333,18.129166666666663,28.09583333333333,1005.2916666666666,0.0
1940-03-01,0.0,26.204166666666666,69.91666666666667,18.95833333333333,28.65833333333333,1006.2583333333332,0.0
1940-03-02,0.0,26.6375,70.625,19.816666666666663,29.47083333333333,1007.0041666666666,0.0
1940-03-03,0.0,27.72083333333333,66.58333333333333,19.579166666666666,30.45833333333333,1005.1125,0.0
1940-03-04,0.0,28.704166666666666,65.54166666666667,20.34583333333333,31.65,1004.4291666666668,0.0
1940-03-05,0.0,30.28333333333333,53.66666666666666,18.495833333333334,31.8125,1002.9333333333334,0.0
1940-03-06,0.0,31.0,49.16666666666666,17.5,31.725,1001.8583333333332,0.0
1940-03-07,0.0,30.85833333333333,42.333333333333336,14.870833333333332,31.116666666666664,1001.8875,0.0
1940-03-08,0.0,30.2125,52.25,17.775000000000002,32.166666666666664,1003.2916666666666,0.0
1940-03-09,0.564519464969635,29.5625,61.375,19.933333333333334,32.025,1004.8458333333332,0.0
1940-03-10,0.4228297472000122,28.579166666666666,72.125,22.4875,32.50416666666667,1005.4625,2.9
1940-03-11,0.0,28.375,73.79166666666667,22.7625,32.454166666666666,1004.8,7.2
1940-03-12,0.0,27.15833333333333,76.16666666666667,22.28333333333333,31.491666666666664,1005.3708333333334,1.8
1940-03-13,0.0,27.241666666666664,78.08333333333333,22.83333333333333,31.73333333333333,1006.2958333333332,5.2
1940-03-14,0.0,27.7625,77.875,23.133333333333336,32.52916666666667,1007.1208333333334,4.300000000000001
1940-03-15,0.0,27.8375,75.75,22.6875,32.3875,1006.9166666666666,0.9
1940-03-16,0.0,28.429166666666664,70.70833333333333,21.875,32.541666666666664,1006.2625,0.4
1940-03-17,0.0,29.433333333333334,66.125,21.745833333333334,32.954166666666666,1004.15,0.3
1940-03-18,0.0,29.5625,64.58333333333333,21.633333333333336,32.92916666666667,1003.05,0.5
1940-03-19,0.0,29.266666666666666,67.75,21.98333333333333,32.604166666666664,1004.0333333333332,0.3
1940-03-20,0.0,29.6875,60.625,20.479166666666668,32.31666666666667,1004.3916666666668,0.1
