TIME,LONGITUDE,LATITUDE,RAINFALL,time,lon,lat,rf
1924-01-01,79.5,12.0,1.3519986867904663,,,,
1924-01-02,79.5,12.0,0.0,,,,
1924-01-03,79.5,12.0,0.0,,,,
1924-01-04,79.5,12.0,9.576826095581055,,,,
1924-01-05,79.5,12.0,28.68577003479004,,,,
1924-01-06,79.5,12.0,0.88070148229599,,,,
1924-01-07,79.5,12.0,17.211275100708008,,,,
1924-01-08,79.5,12.0,26.85572624206543,,,,
1924-01-09,79.5,12.0,2.105746269226074,,,,
1924-01-10,79.5,12.0,0.0,,,,
1924-01-11,79.5,12.0,0.0,,,,
1924-01-12,79.5,12.0,0.0,,,,
1924-01-13,79.5,12.0,0.0,,,,
1924-01-14,79.5,12.0,0.0,,,,
1924-01-15,79.5,12.0,0.0,,,,
1924-01-16,79.5,12.0,0.0,,,,
1924-01-17,79.5,12.0,0.0,,,,
1924-01-18,79.5,12.0,0.0,,,,
1924-01-19,79.5,12.0,0.0,,,,
1924-01-20,79.5,12.0,0.0,,,,
1924-01-21,79.5,12.0,0.0,,,,
1924-01-22,79.5,12.0,0.0,,,,
1924-01-23,79.5,12.0,0.0,,,,
1924-01-24,79.5,12.0,0.0,,,,
1924-01-25,79.5,12.0,0.0,,,,
1924-01-26,79.5,12.0,0.0,,,,
1924-01-27,79.5,12.0,0.0,,,,
1924-01-28,79.5,12.0,0.0,,,,
1924-01-29,79.5,12.0,0.27887067198753357,,,,
1924-01-30,79.5,12.0,0.0,,,,
1924-01-31,79.5,12.0,0.0,,,,
1924-02-01,79.5,12.0,0.0,,,,
1924-02-02,79.5,12.0,0.0,,,,
1924-02-03,79.5,12.0,0.0,,,,
1924-02-04,79.5,12.0,0.0,,,,
1924-02-05,79.5,12.0,0.0,,,,
1924-02-06,79.5,12.0,0.0,,,,
1924-02-07,79.5,12.0,0.0,,,,
1924-02-08,79.5,12.0,0.0,,,,
1924-02-09,79.5,12.0,0.0,,,,
1924-02-10,79.5,12.0,0.0,,,,
1924-02-11,79.5,12.0,0.0,,,,
1924-02-12,79.5,12.0,0.0,,,,
1924-02-13,79.5,12.0,0.0,,,,
1924-02-14,79.5,12.0,0.0,,,,
1924-02-15,79.5,12.0,0.0,,,,
1924-02-16,79.5,12.0,0.0,,,,
1924-02-17,79.5,12.0,0.0,,,,
1924-02-18,79.5,12.0,0.0,,,,
1924-02-19,79.5,12.0,0.0,,,,
1924-02-20,79.5,12.0,0.0,,,,
1924-02-21,79.5,12.0,0.0,,,,
1924-02-22,79.5,12.0,0.0,,,,
1924-02-23,79.5,12.0,0.0,,,,
1924-02-24,79.5,12.0,0.0,,,,
1924-02-25,79.5,12.0,0.0,,,,
1924-02-26,79.5,12.0,0.0,,,,
1924-02-27,79.5,12.0,0.0,,,,
1924-02-28,79.5,12.0,0.0,,,,
1924-02-29,79.5,12.0,0.0,,,,
1924-03-01,79.5,12.0,0.0,,,,
1924-03-02,79.5,12.0,0.0,,,,
1924-03-03,79.5,12.0,0.0,,,,
1924-03-04,79.5,12.0,0.0,,,,
1924-03-05,79.5,12.0,0.0,,,,
1924-03-06,79.5,12.0,0.0,,,,
